,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
132,"
1 bedroom apartment for sale in Kilimani
","

Heartland Kilimani, Kilimani, Dagoretti North

",-,"
1
","








1

","
1BEDROOM APART FOR SALE IN KILIMANI
",Apogee Realty Homes,"
KSh 5,000,000
"
133,"
2 bedroom apartment for sale in Kilimani
","

Near YAYA Centre, Kilimani, Dagoretti North

","
75 m²
","
2
","








2

","
New 2 Bedrooms 75 Sqm Ksh. 7.5M Apartment FOR S...
",Sir Francis Marketing & Consultants Ltd,"
KSh 7,500,000
"
134,"
3 bedroom apartment for sale in Westlands Area
","

General Mathenge, Westlands Area, Westlands

",-,"
3
",-,"
GREENVILLE GARDENS –GENERAL MATHENGE (3 bedroom...
",Primofort Investment,"
KSh 18,500,000
"
135,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








3

","
2 & 3 bedroom apartments
",Azizi Realtors,"
KSh 11,500,000
"
136,"
3 bedroom apartment for sale in Kileleshwa
","

Tabere Lane, Kileleshwa, Dagoretti North

","
126 m²
","
3
","








3

","
3 bedroom+DSQ-Alina Ridge
",Wonder Properties,"
KSh 11,000,000
"
137,"
1 bedroom apartment for sale in Waiyaki Way
","

Muhuri Road, Waiyaki Way, Westlands

",-,"
1
","








2

","
1 Bedroom Apartment For Sale - Muhuri Road
",Emma Jolly Properties,"
KSh 3,250,000
"
138,"
3 bedroom apartment for sale in Kileleshwa
","

Ring Road kileleshwa, Behind Riverside Drive, Kileleshwa, Dagoretti North

","
2265 ft²
","
3
","








3

","
Elegant 3 Bedroom Apartment For Sale In Kileles...
",Coral Property International Ltd,"
KSh 26,000,000
"
139,"
1 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
850 ft²
","
1
","








2

","
LIMITED OFFER - MODERN 1BEDROOM APARTMENT
",Balis Properties,"
KSh 7,500,000
"
140,"
3 bedroom apartment for sale in Waiyaki Way
","

Waiyaki Way, Westlands

","
139 m²
","
3
","








2

","
3 Bedroom Modern Apartment For Sale along Waiya...
",Royalgen Estates,"
KSh 13,500,000
"
141,"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
270 m²
","
4
","








4

","
4 BEDROOM EXCLUSIVE APARTMENT FOR SALE IN KILIM...
",Trisums Investments Company Ltd,"
KSh 17,000,000
"
142,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
114 m²
","
3
","








2

","
3 BEDROOMS FROM 9.25M
",Round The Clock Homes,"
KSh 9,250,000
"
143,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
95 m²
","
2
","








2

","
EXQUISITE 2BR APARTMENT
",Balis Properties,"
KSh 11,000,000
"
144,"
2 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
2
","








1

","
2 bedroom apartment for sale in Riverside - 3KE...
",Pam Golding Properties,"
KSh 12,500,000
"
145,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








4

","
PANORAMIC 3 Bed APARTMENT, KILIMANI
",Citiscape Valuers & Estate Agents Ltd,"
KSh 12,700,000
"
146,"
3 bedroom apartment for sale in Nairobi West
","

Nairobi West, Langata

",-,"
3
","








2

","
3 Bedroom Apartment for Sale in Nairobi West
",Ring Kenya Ltd,"
KSh 11,000,000
"
147,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
126 m²
","
2
","








3

","
MODERN 2BR ALL ENSUITE
",Balis Properties,"
KSh 12,500,000
"
148,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
Beautiful 2 bedroom apartment in KILIMANI
",Azizi Realtors,"
KSh 12,000,000
"
149,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

",-,"
2
",-,"
2BR NEW APARTMENTS FOR SALE IN KILIMANI OFF NGO...
",Amuti Services Ltd,"
KSh 7,300,000
"
150,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








2

","
3 Bedroom Apartment in Kileleshwa
",Eden Heights Realty,"
KSh 25,000,000
"
151,"
3 bedroom apartment for sale in Lavington
","

Lavington, Lavington, Dagoretti North

","
180 m²
","
3
","








4

","
3BR ALL ENSUITE PLUS DSQ
",Balis Properties,"
KSh 19,000,000
"
152,"
5 bedroom townhouse for sale in Spring Valley
","

Spring Valley, Westlands

",-,"
5
","








6

","
Spring Valley Five Bedroom Townhouse with DSQ F...
",Ge-Mac Property Solutions,"
KSh 65,000,000
"
153,"
3 bedroom apartment for sale in Parklands
","

Nairobi, Parklands, Westlands

","
3000 ft²
","
3
","








3

","
3 Bedroom All En-suite Unfurnished Apartment Fo...
",Coral Property International Ltd,"
KSh 36,000,000
"
154,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
Luxurious 3/4Br apartments - located in Kileles...
",Upper Deck Homes,"
KSh 10,500,000
"
155,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
LOVELY & SPACIOUS 2BEDROOM APARTMENT
",Balis Properties,"
KSh 9,500,000
"
156,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
200 m²
","
3
","








3

","
NEW EXECUTIVE 3 BEDROOM EXECUTIVE APARTMENT FO...
",Splendor Holdings,"
KSh 20,000,000
"
157,"
4 bedroom house for sale in Imara Daima
","

Imara Daima, Embakasi

",-,"
4
","








2

","
4 BEDROOM MANSIONNETTE IN IMARA DAIMA FOR SALE
",S.G ShelterSpear Properties Limited,"
KSh 14,000,000
"
158,"
2 bedroom apartment for sale in Thika Road
","

Garden City, Nairobi, Thika Road, Thika Road

",-,"
2
",-,"
Apartments For Sale At Garden City Along Thika...
",Coral Property International Ltd,"
P.O.A
"
159,"
 5 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
5
","








4

","
MODERN FIVE BEDROOM DUPLEX APARTMENTS IN PARKLA...
",Allionè Real Estate,"
KSh 23,000,000
"
160,"
4 bedroom townhouse for sale in Langata Area
","

Langata Area, Langata

","
2650 ft²
","
4
","








4

","
Modern Townhouses for Sale in Lang&#39;ata
",Jakharris Africa Ltd,"
KSh 35,000,000
"
161,"
3 bedroom apartment for sale in Kileleshwa
","

Savannah Land Apartments, Kileleshwa, Dagoretti North

","
22 m²
","
3
","








3

","
Savannah Land Apartments, 3 &2 Bedroom Apartmen...
",Crystal Valuers LTD,"
KSh 23,500,000
"
162,"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

",-,"
1
",-,"
1 & 2 Bedroom Apartments For Sale in Kilimani
",Simkar Group Limited,"
KSh 10,000,000
"
163,"
3 bedroom apartment for sale in Kilimani
","

Elgeyo Marakwet & Muringa Rd junction, Kilimani, Dagoretti North

","
165 m²
","
3
","








4

","
Modern 3 BR (all en suite) + DSQ Apartment
",Prima Properties Ke,"
KSh 18,000,000
"
164,"
3 bedroom apartment for sale in Kileleshwa
","

340, Othaya rd, Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3 bedroom
",Didenco Investments,"
KSh 13,500,000
"
165,"
Commercial land for sale in Westlands Area
","

Westlands Area, Westlands

",-,-,-,"
Prime Property(Half Acre) For Sale In Westlands
",Mimshakh Dunamis Global Ltd,"
KSh 260,000,000
"
166,"
3 bedroom apartment for sale in Kilimani
","

kindaruma road, Kilimani, Dagoretti North

","
160 m²
","
3
","








3

","
With a detached DSQ 3 Bedrooms +dsq for sale
",Round The Clock Homes,"
KSh 12,500,000
"
167,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
 ",-,"
2 BED KILIMANI APARTMENT
",Splendour Real Estate,"
KSh 22,000,000
"
168,"
3 bedroom apartment for sale in Thika Road
","

Thika Road, Thika Road

",-,"
3
","








2

","
Kahawa Downs
",Landmark Realtors Ltd,"
KSh 9,300,000
"
169,"
3 bedroom apartment for sale in Lavington
","

Hatheru Road, Lavington, Dagoretti North

",-,"
3
","








4

","
Penthouse Apartment In Lavington
",Peponi & Co Real Estate,"
KSh 31,000,000
"
170,"
2 bedroom apartment for sale in Westlands Area
","

General Mathenge, Westlands Area, Westlands

",-,"
2
",-,"
GREENVILLE GARDENS –GENERAL MATHENGE
",Primofort Investment,"
KSh 12,500,000
"
171,"
3 bedroom apartment for sale in Riruta
","

Off Naivasha Road, Riruta, Dagoretti South

","
121 m²
","
3
","








2

","
Precious Garden Apartments
",HF Group PLC,"
 KSh 7,500,000
"
172,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
",-,"
Kilelshwa, New Apartments (Off-plan)
",FAPCL Group,"
KSh 11,000,000
"
173,"
8.9 ac land for sale in North Muthaiga
","

North Muthaiga, Muthaiga

","
8 ac
",-,-,"
8.9 acres vacant land for sale in Muthaiga Nort...
",Pam Golding Properties,"
KSh 650,000,000
"
174,"
Land for sale in Brookside
","

Brookside, Brookside, Westlands

",-,-,-,"
1.216 Acres Commercial Plot For Sale in Brooksi...
",Simkar Group Limited,"
KSh 485,000,000
"
175,"
3 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

","
170 m²
","
3
","








3

","
3 Bedroom Apartment For Sale in Westlands
",Nuru Breeze Homes Realty Limited,"
KSh 19,000,000
"
176,"
3 bedroom apartment for sale in Riverside
","

Riverside Lane, Riverside, Westlands

","
154 m²
","
3
","








3

","
2 and 3 Bedrooms Apartment For Sale in Riversid...
",Sir Francis Marketing & Consultants Ltd,"
KSh 16,500,000
"
177,"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
165 m²
","
4
","








5

","
New 4 Bedrooms + Sq 164Sqm Ksh. 16.65M Ready Fo...
",Sir Francis Marketing & Consultants Ltd,"
KSh 16,650,000
"
178,"
2 bedroom apartment for sale in Kilimani
","

Kindaruma Road, Kilimani, Dagoretti North

","
70 m²
","
2
",-,"
Heartland Gardens in Kilimani - ultra modern st...
",Property Zone East Africa,"
KSh 7,500,000
"
179,"
3 bedroom apartment for sale in Kilimani
","

Kindaruma road, Kilimani, Dagoretti North

",-,"
3
","








4

","
3 bedrooms all ensuite
",Calmillers Holding Ltd,"
KSh 12,500,000
"
180,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
177 m²
","
3
","








4

","
MODERN 3BEDROOM ALL ENSUITE PLUS DSQ
",Balis Properties,"
KSh 17,500,000
"
181,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
",-,"
Modern Brand New Development with 2,3 and 4 bed...
",Pam Golding Properties,"
KSh 16,500,000
"
182,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
",-,"
2bdrm with quality finishing
",REALTY BORIS,"
KSh 15,500,000
"
183,"
3 bedroom apartment for sale in Brookside
","

Brookside, Westlands

","
205 m²
","
3
",-,"
3 BEDROOM EXECUTIVE APARTMENT + DSQ FOR SALE (...
",Splendor Holdings,"
KSh 26,500,000
"
184,"
3 bedroom apartment for sale in Ruaraka
","

Next to USIU, Ruaraka, Ruaraka

",-,"
3
","








2

","
3Br Aprt For Sale in Morningside Apartments Rua...
",Apogee Realty Homes,"
KSh 14,000,000
"
185,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
BREATH-TAKING 3 BEDROOM APARTMENTS FOR SALE
",Olympia Gold Real Estate,"
KSh 20,650,000
"
186,"
1 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
80 m²
","
1
",-,"
ONE (1) BEDROOM EXECUTIVE APARTMENT FOR SALE...
",Splendor Holdings,"
KSh 6,500,000
"
187,"
3 bedroom apartment for sale in Karura
","

Karura, Westlands

",-,"
3
","








4

","
New & Spacious 3 Bedroom Apartment Plus Dsq
",Origin Homes,"
KSh 29,000,000
"
188,"
5 bedroom townhouse for sale in Runda
","

Runda, Westlands

","
450 m²
","
5
","








5

","
NEW 5 BEDROOM TOWNHOUSE + DSQ FOR SALE IN RUNDA...
",Splendor Holdings,"
KSh 67,000,000
"
189,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








2

","
The Marquis - 2,3 & 4 Bedroom Apartments in Kil...
",Coral Property International Ltd,"
KSh 15,240,000
"
190,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
Brand new 2 bedroom apartmet with swimming pool
",Wilnas Property Ltd,"
KSh 15,000,000
"
191,"
5 bedroom townhouse for sale in Karen
","

Karen, Langata

","
4500 ft²
","
5
","








6

","
BEAUTIFUL 5 BEDROOM TOWNHOUSE IN KAREN WITH A C...
",A1 Properties Ltd,"
KSh 97,500,000
"
192,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
230 m²
","
3
","








3
 
","
NEW 3 BEDROOM EXECUTIVE APARTMENT + DSQ (STUDIO...
",Splendor Holdings,"
KSh 21,000,000
"
193,"
3 bedroom apartment for sale in Kilimani
","

Elgeiyo Marakwet, Kilimani, Dagoretti North

","
165 m²
","
3
","








3

","
Executive 3 Bedroom Apartment all ensuite+DSQ
",Peech Limited,"
KSh 18,000,000
"
194,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3
 
","
SIAYA PARK APARTMENT FOR SALE
",Golden Oak Properties & Developers,"
KSh 13,000,000
"
195,"
3 bedroom apartment for sale in Naivasha Road
","

Four Points Apartments, Naivasha Road, Dagoretti North

","
112 m²
","
3
","








2

","
2 & 3 BEDROOM APARTMENTS ON NAIVASHA ROAD - FOU...
",Crystal Valuers LTD,"
KSh 8,500,000
"
196,"
3 bedroom apartment for sale in Kileleshwa
","

LAIKIPIA RD, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








2

","
3 BEDROOMS FOR SALE IN KILELESHWA
",Abode Realty,"
KSh 10,500,000
"
197,"
4 bedroom apartment for sale in Langata Area
","

Langata Area, Langata

",-,"
4
","








4

","
4 Bedroom townhouse for sale in Langata
",Azizi Realtors,"
KSh 35,000,000
"
198,"
2024 m² residential land for sale in Thome
","

Thome, Roysambu

","
2024 m²
",-,-,"
THOME ESTATE:- RESIDENTIAL PLOTS ON OFFER.
",Afrique Properties Limited,"
KSh 25,000,000
"
199,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
210 m²
","
3
","








4

","
4BEDROOMS, 5BATHROOMS 1DSQ & VIEWS
",Balis Properties,"
KSh 17,990,000
"
200,"
5 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
5
",-,"
Spectacular 5 Bedroom Penthouse Duplex in the H...
",Pam Golding Properties,"
KSh 26,000,000
"
201,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
133 m²
","
3
","








3

","
LIMITED OFFER - 3BEDROOMS, 3BATHROOMS & A HOME...
",Balis Properties,"
KSh 11,500,000
"
202,"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
215 m²
","
3
",-,"
3 BEDROOM EXECUTIVE APARTMENT + DSQ FOR SALE IN...
",Splendor Holdings,"
KSh 20,000,000
"
203,"
3 bedroom apartment for sale in Kahawa West
","

Richland Pointe Apartments, Kahawa West, Roysambu

","
125 m²
","
3
","








3

","
Richland Pointe - 3 bedroom apartments for sale...
",Crystal Valuers LTD,"
KSh 9,000,000
"
204,"
1 bedroom apartment for sale in Waiyaki Way
","

Waiyaki Way, Westlands

","
52 m²
","
1
","








1

","
1&2 Bedroom apartments for sale
",B. Nyariki Properties,"
KSh 3,250,000
"
205,"
3 bedroom apartment for sale in Kileleshwa
","

laikipia road, Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3 br for sale in kileleshwa near kasuku centre
",Nairobi Property,"
KSh 10,500,000
"
206,"
3 bedroom apartment for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
3
",-,"
Three Bedroom Apartment For Sale – Kiambu
",PMC Estates Limited,"
KSh 10,500,000
"
207,"
1 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
1
","








1

","
Studio , 1 , 2 Bedroom Apartment for Sale
",J.M McCarthy Properties Ltd,"
KSh 7,600,000
"
208,"
Residential land for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,-,-,"
Half acre plot along Kiambu rd
",Edlon Group Limited,"
KSh 36,500,000
"
209,"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
1765 ft²
","
4
","








2

","
4BEDROOM WITH A DSQ
",Balis Properties,"
KSh 16,650,000
"
210,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
285 m²
","
3
",-,"
NEW, STUNNING & VERY SPACIOUS 3 BEDROOM ALL ENS...
",A1 Properties Ltd,"
KSh 21,000,000
"
211,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
225 m²
","
3
","








4

","
LUXURY 3BEDROOM DUPLEX PENTHOUSE - PLUS DSQ
",Balis Properties,"
KSh 30,000,000
"
212,"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
4
","








4

","
Magnificent 4 Bedroom plus Dsq Apartment
",Azizi Realtors,"
KSh 17,100,000
"
213,"
2 bedroom apartment for sale in Kileleshwa
","

436, Siaya rd, Kileleshwa, Dagoretti North

",-,"
2
","








2

","
2bedroom apartment
",Didenco Investments,"
KSh 12,000,000
"
214,"
Residential land for sale in Dagoretti Corner
","

Dagoretti Corner, Dagoretti South

",-,-,-,"
Prime plot for sale in Dagoreti along wanyee ro...
",Wilnas Property Ltd,"
KSh 25,000,000
"
215,"
4 bedroom apartment for sale in Lavington
","

Hatheru road, Lavington, Dagoretti North

","
245 m²
","
4
","








5

","
Elegant 4 Bedrooms with Dsq Apartment for sale
",Abode Realty,"
KSh 22,000,000
"
216,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
158 m²
","
3
","








4

","
3 BEDROOM APARTMENTS FOR SALE IN KILIMANI/ HURL...
",Danco Limited,"
KSh 12,700,000
"
217,"
Land for sale in Lavington
","

Lavington, Dagoretti North

",-,-,-,"
Plot for sale
",Halifax Estate Agency,"
KSh 200,000,000
"
218,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








2

","
BREATH-TAKING 2 BEDROOM APARTMENTS FOR SALE
",Olympia Gold Real Estate,"
KSh 11,200,000
"
219,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
Alluring & Elegant 3 Bedroom Apartments
",Olympia Gold Real Estate,"
KSh 15,300,000
"
220,"
4 bedroom apartment for sale in Waiyaki Way
","

Nairobi, Waiyaki Way, Westlands

",-,"
4
","








4

","
4 Bedroom Apartment For Sale Along East Church...
",Coral Property International Ltd,"
KSh 23,000,000
"
221,"
2 bedroom apartment for sale in Kileleshwa
","

Othaya rd, Kileleshwa, Dagoretti North

","
110 m²
","
2
","








2

","
2 Bedroom For sale in Kileleshwa
",Abode Realty,"
KSh 8,500,000
"
222,"
1 ac commercial property for sale in Mombasa Road
","

Next to Liberty Plaza, Mombasa Road, Mombasa Road

","
1 ac
",-,-,"
1 Acre Developed Plot with 6 Godowns Includes V...
",-,"
KSh 198,000,000
"
223,"
5 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
330 m²
","
5
","








6

","
5BEDROOM ALL ENSUITE PENTHOUSE
",Balis Properties,"
KSh 36,000,000
"
224,"
4 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
4
","








4

","
MODERN 4BEDROOM APARTMENT ON SALE IN RIVERSIDE
",Canaan Properties,"
KSh 28,000,000
"
225,"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
80 m²
","
1
",-,"
1 BEDROOM APARTMENT + Guest Wing/SQ FOR SALE, N...
",Splendor Holdings,"
KSh 7,000,000
"
226,"
3 bedroom apartment for sale in Kileleshwa
","

Siaya Road, Nairobi, Kileleshwa, Dagoretti North

",-,"
3
","








2

","
3 Bedroom Apartment For Sale off Siaya Road Kil...
",Coral Property International Ltd,"
KSh 20,700,000
"
227,"
4 bedroom apartment for sale in Westlands Area
","

General Mathenge, Westlands Area, Westlands

",-,"
4
",-,"
GREENVILLE GARDENS –GENERAL MATHENGE
",Primofort Investment,"
KSh 25,400,000
"
